,Comments,Scraped Comments,Reads,Votes,Chapter Name,Chapter,Part,Username,Date,Original,Text,Negative,Neutral,Positive,Compound
77,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,milknhon3y,2019-10-11,"that quote 😍
",that quote  smiling face with heart-eyes  ,0.0,0.625,0.375,0.4588
78,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,milknhon3y,2019-10-11,"yeeeees
",yeeeees ,0.0,1.0,0.0,0.0
79,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,milknhon3y,2019-10-11,"ahhh so good!
",ahhh so good! ,0.0,0.365,0.635,0.54
80,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,lvsung,2019-10-05,"I honestly feel much more attached to stories where the author really talks to the reader like a friend. I love u too
",i honestly feel much more attached to stories where the author really talks to the reader like a friend. i love u too ,0.0,0.538,0.462,0.9169
81,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,lufemania,2019-10-01,"Personally  I think you are amazing for actually giving a few details about greek mythology for some readers who have no idea what may be happening. Most authors will just dive right into the story without so much as background knowledge on things most don’t really know. Also I’m already in love with this because Hades and Persephone are literally my favorite couple.
",personally  i think you are amazing for actually giving a few details about greek mythology for some readers who have no idea what may be happening. most authors will just dive right into the story without so much as background knowledge on things most don't really know. also i'm already in love with this because hades and persephone are literally my favorite couple. ,0.031,0.782,0.187,0.9042
82,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,Abbzreads,2019-09-25,"Another fun fact! Persephone is actually a woman of colour.
",another fun fact! persephone is actually a woman of colour. ,0.0,0.69,0.31,0.5562
83,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,Abbzreads,2019-09-25,"But the one with the pomegranate and stuff isn’t the original story of Hades and Persephone. The actual one is when Persephone is named Kore and she finds an entersnce tp the underworld and likes it so she wants to stay there then when Hades sees her he’s like “what is beautiful woman doing here?” And stuff.
","but the one with the pomegranate and stuff isn't the original story of hades and persephone. the actual one is when persephone is named kore and she finds an entersnce tp the underworld and likes it so she wants to stay there then when hades sees her he's like ""what is beautiful woman doing here?"" and stuff. ",0.031,0.826,0.143,0.8041
84,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,Abbzreads,2019-09-25,"Hades isn’t the god of the dead though  he’s the lord of the dead and the god of riches.
",hades isn't the god of the dead though  he's the lord of the dead and the god of riches. ,0.413,0.473,0.115,-0.8329
85,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,Abbzreads,2019-09-25,"Fun fact  Hades isn’t the god of death. He’s the god of riches and the lord of the underworld. Actually Thanatos who’s the angel of death.
",fun fact  hades isn't the god of death. he's the god of riches and the lord of the underworld. actually thanatos who's the angel of death. ,0.3,0.525,0.176,-0.5759
86,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,-nixgotsarcasm,2019-09-16,"I am Greek and our school never bothered that much to teach us Greek mythology  something that saddened me a lot throughout the years.
",i am greek and our school never bothered that much to teach us greek mythology  something that saddened me a lot throughout the years. ,0.134,0.789,0.077,-0.3481
